,Id,ActivityDate,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
0,2347167796,2016-04-12,28,13,320,964,2344
1,2347167796,2016-04-13,19,32,195,676,2038
2,2347167796,2016-04-14,1,48,206,705,2010
3,2347167796,2016-04-15,1,24,284,720,2133
4,2347167796,2016-04-16,66,72,268,968,2670
5,2347167796,2016-04-17,1,7,249,508,1882
6,2347167796,2016-04-18,11,16,206,678,1944
7,2347167796,2016-04-19,0,7,382,648,2346
8,2347167796,2016-04-20,11,43,269,1011,2198
9,2347167796,2016-04-21,23,26,208,761,2048
10,2347167796,2016-04-22,9,27,206,781,1946
11,2347167796,2016-04-23,32,35,360,591,2629
12,2347167796,2016-04-24,0,0,360,584,2187
13,2347167796,2016-04-25,15,11,277,653,2095
14,2347167796,2016-04-26,0,0,227,732,1861
15,2347167796,2016-04-27,26,9,295,623,2194
16,2347167796,2016-04-28,0,0,229,764,1854
17,2347167796,2016-04-29,0,0,4,2,403
18,4020332650,2016-04-12,4,15,331,712,3654
19,4020332650,2016-04-13,0,0,0,1440,1981
20,4020332650,2016-04-14,0,0,3,1437,2011
21,4020332650,2016-04-15,36,18,87,1299,2951
22,4020332650,2016-04-16,65,21,55,1222,3051
23,4020332650,2016-04-17,0,0,2,1438,1990
24,4020332650,2016-04-18,0,0,2,1438,1995
25,4020332650,2016-04-19,0,0,0,1440,1980
26,4020332650,2016-04-20,0,0,0,1440,1980
27,4020332650,2016-04-21,0,0,0,1440,1980
28,4020332650,2016-04-22,0,0,0,1440,1980
29,4020332650,2016-04-23,0,0,0,1440,1980
30,4020332650,2016-04-24,0,0,0,1440,1980
31,4020332650,2016-04-25,0,0,0,1440,1980
32,4020332650,2016-04-26,0,0,0,1440,1980
33,4020332650,2016-04-27,0,0,0,1440,1980
34,4020332650,2016-04-28,0,0,0,1440,1980
35,4020332650,2016-04-29,0,0,0,1440,1980
36,4020332650,2016-04-30,0,0,0,1440,1980
37,4020332650,2016-05-01,0,0,0,1440,1980
38,4020332650,2016-05-02,0,11,31,1350,2207
39,4020332650,2016-05-03,0,0,174,950,2828
40,4020332650,2016-05-04,13,46,346,531,3879
41,4020332650,2016-05-05,38,42,196,916,3429
42,4020332650,2016-05-06,0,0,177,855,2704
43,4020332650,2016-05-07,0,0,184,1256,2975
44,4020332650,2016-05-08,0,0,263,775,3089
45,4020332650,2016-05-09,3,5,173,1225,2785
46,4020332650,2016-05-10,0,0,206,774,2926
47,4020332650,2016-05-11,2,8,134,1296,2645
48,4020332650,2016-05-12,0,0,21,721,1120
49,4388161847,2016-04-12,0,0,0,1440,2955
50,4388161847,2016-04-13,1,14,150,1275,3092
51,4388161847,2016-04-14,10,35,219,945,2998
52,4388161847,2016-04-15,0,0,299,837,3066
53,4388161847,2016-04-16,6,9,253,609,3073
